1671487006.597416 client started (25628): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1671487006.597452 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1671487006.597882 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1671487006.600477 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600479 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600482 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600485 sending message 112 to peer 0x148008000 (8 bytes)
1671487006.600487 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600490 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600493 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600496 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600498 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600501 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600504 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600506 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600509 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600512 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600514 sending message 112 to peer 0x148008000 (8 bytes)
1671487006.600517 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600520 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600522 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600525 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600528 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600530 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600539 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600541 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600544 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600547 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600550 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600552 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600555 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600557 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600560 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600563 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600565 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600568 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600574 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600579 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600586 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600592 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600597 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600603 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600609 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600615 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600621 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600627 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600634 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600640 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600647 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600653 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600660 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600667 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600674 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600681 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600687 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600694 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600701 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600708 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600715 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600722 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600729 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600736 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600742 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600748 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600754 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600760 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600766 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600772 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600778 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600785 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600791 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600796 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600802 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600809 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600815 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600821 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600827 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600834 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600840 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600846 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600852 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600858 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600865 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600871 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600881 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600884 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600887 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600889 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600892 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600895 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600897 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600900 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600903 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600905 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600908 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600911 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600913 sending message 112 to peer 0x148008000 (21 bytes)
1671487006.600916 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600919 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600921 sending message 112 to peer 0x148008000 (6 bytes)
1671487006.600924 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600927 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600929 sending message 112 to peer 0x148008000 (24 bytes)
1671487006.600932 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600935 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600937 sending message 112 to peer 0x148008000 (70 bytes)
1671487006.600940 sending message 112 to peer 0x148008000 (69 bytes)
1671487006.600943 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600946 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600948 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600951 sending message 112 to peer 0x148008000 (24 bytes)
1671487006.600954 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600956 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600959 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600962 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600964 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600967 sending message 112 to peer 0x148008000 (15 bytes)
1671487006.600970 sending message 112 to peer 0x148008000 (5 bytes)
1671487006.600973 sending message 104 to peer 0x148008000 (0 bytes)
1671487006.600977 sending message 110 to peer 0x148008000 (0 bytes)
1671487006.600983 sending message 107 to peer 0x148008000 (4 bytes)
1671487006.600986 sending message 105 to peer 0x148008000 (30 bytes)
1671487006.600988 sending message 105 to peer 0x148008000 (14 bytes)
1671487006.600991 sending message 105 to peer 0x148008000 (14 bytes)
1671487006.600994 sending message 105 to peer 0x148008000 (17 bytes)
1671487006.600996 sending message 105 to peer 0x148008000 (19 bytes)
1671487006.600999 sending message 105 to peer 0x148008000 (54 bytes)
1671487006.601002 sending message 105 to peer 0x148008000 (15 bytes)
1671487006.601004 sending message 105 to peer 0x148008000 (29 bytes)
1671487006.601007 sending message 105 to peer 0x148008000 (43 bytes)
1671487006.601010 sending message 105 to peer 0x148008000 (60 bytes)
1671487006.601012 sending message 105 to peer 0x148008000 (43 bytes)
1671487006.601015 sending message 105 to peer 0x148008000 (61 bytes)
1671487006.601018 sending message 105 to peer 0x148008000 (36 bytes)
1671487006.601020 sending message 105 to peer 0x148008000 (165 bytes)
1671487006.601026 sending message 105 to peer 0x148008000 (39 bytes)
1671487006.601029 sending message 105 to peer 0x148008000 (26 bytes)
1671487006.601031 sending message 105 to peer 0x148008000 (18 bytes)
1671487006.601034 sending message 105 to peer 0x148008000 (20 bytes)
1671487006.601037 sending message 105 to peer 0x148008000 (13 bytes)
1671487006.601039 sending message 105 to peer 0x148008000 (53 bytes)
1671487006.601042 sending message 105 to peer 0x148008000 (24 bytes)
1671487006.601044 sending message 105 to peer 0x148008000 (22 bytes)
1671487006.601054 sending message 105 to peer 0x148008000 (53 bytes)
1671487006.601057 sending message 105 to peer 0x148008000 (11 bytes)
1671487006.601059 sending message 105 to peer 0x148008000 (38 bytes)
1671487006.601062 sending message 105 to peer 0x148008000 (18 bytes)
1671487006.601065 sending message 105 to peer 0x148008000 (19 bytes)
1671487006.601067 sending message 105 to peer 0x148008000 (32 bytes)
1671487006.601070 sending message 105 to peer 0x148008000 (27 bytes)
1671487006.601073 sending message 105 to peer 0x148008000 (17 bytes)
1671487006.601075 sending message 105 to peer 0x148008000 (29 bytes)
1671487006.601078 sending message 105 to peer 0x148008000 (57 bytes)
1671487006.601081 sending message 105 to peer 0x148008000 (20 bytes)
1671487006.601083 sending message 105 to peer 0x148008000 (66 bytes)
1671487006.601086 sending message 105 to peer 0x148008000 (22 bytes)
1671487006.601088 sending message 105 to peer 0x148008000 (8 bytes)
1671487006.601091 sending message 106 to peer 0x148008000 (0 bytes)
1671487006.601098 sending message 200 to peer 0x148008000 (4 bytes)
1671487006.601101 client loop enter
1671487006.601413 peer 0x148008000 message 303
1671487006.601425 open write file 2 -
1671487006.601437 sending message 305 to peer 0x148008000 (8 bytes)
1671487006.601449 write check file 2
1671487006.601467 peer 0x148008000 message 304
1671487006.601470 write 58 to file 2
1671487006.601474 peer 0x148008000 message 203
1671487006.601477 file 2 58 bytes left
1671487006.601487 write check file 2
1671487006.601490 client loop exit
